text|raw_text|lang|font|sentiment|impact_intensity|impact_term
JPMorgan Chase Take First Republic Bank 's Assets ; Consensus 2023 Highlights|JPMorgan Chase to Take Over Most of First Republic Bank's Assets; Consensus 2023 Highlights|eng|CoinDesk|neutro|alto|longo
Fed : rate cuts seen year – UOB|Fed: No rate cuts seen this year – UOB|eng|FXStreet|negativo|alto|curto
Eli Lilly Alzheimer ’ treatment donanemab slowed disease progression clinical trial|Eli Lilly Alzheimer’s treatment donanemab slowed disease progression in clinical trial|eng|CNBC|positivo|alto|curto
$ 1 trillion platinum coin could save US economic catastrophe less month . would fast , legal , bigger regular coin .|A $1 trillion platinum coin could save the US from economic catastrophe in less than a month. It would be fast, legal, and no bigger than a regular coin.|eng|Yahoo News|neutro|alto|curto
Debt ceiling solution : $ 1 trillion platinum coin could stop crisis|Debt ceiling solution: $1 trillion platinum coin could stop crisis|eng|Business Insider|neutro|alto|curto
Stellantis Q1 : Sales jump 14 % higher prices|Stellantis Q1: Sales jump 14% on higher prices|eng|Automotive News|positivo|alto|curto
's expect today 's Federal Reserve announcement|Here's what to expect from today's Federal Reserve announcement|eng|CNBC|neutro|alto|curto
Ford 's profit rises truck demand EV outlook sends shares lower|Ford's profit rises on truck demand but EV outlook sends shares lower|eng|Fox Business|negativo|alto|curto
Whale Moves $ 504,000,000 Ethereum One Massive Transfer – ’ Crypto|Whale Moves Over $504,000,000 in Ethereum in One Massive Transfer – Here’s Where the Crypto Is Now|eng|The Daily Hodl|neutro|alto|curto
Morning Bid : Bank reverb frames Fed decision|Morning Bid: Bank reverb frames Fed decision|eng|Reuters|neutro|alto|curto
Microsoft Economist Warns Bad Actors Use AI Cause Damage|Microsoft Economist Warns Bad Actors Will Use AI to Cause Damage|eng|msnNOW|negativo|alto|longo
Brent Oil Slips $ 75 Demand , Slowdown Concerns|Brent Oil Slips Below $75 on Demand, Slowdown Concerns|eng|Bloomberg Television|negativo|alto|curto
Job openings near two-year low layoffs jump World Business Watch WION|Job openings near two-year low as layoffs jump  World Business Watch  WION|eng|WION|negativo|alto|curto
Ethereum Price Prediction $ 8 Billion Trading Volume Comes – Whales Accumulating ?|Ethereum Price Prediction as $8 Billion Trading Volume Comes In – Are Whales Accumulating?|eng|Cryptonews|neutro|alto|curto
Uber zooms past Q1 earnings estimates World Business Watch WION|Uber zooms past Q1 earnings estimates  World Business Watch  WION|eng|WION|positivo|alto|curto
Signs stress start build markets debt ceiling deadline looms|Signs of stress start to build in markets as debt ceiling deadline looms|eng|Washington Examiner|negativo|alto|curto
Top banking CEO warns volatility predicts U.S. rescues|Top banking CEO warns of further volatility and predicts more U.S. rescues|eng|CNBC|negativo|alto|curto
Fear & Greed Index Moves ‘ Neutral ’ Zone Ahead Fed Rate Decision - Ford Motor ( NYSE : F ) , Kraft Heinz|Fear & Greed Index Moves To ‘Neutral’ Zone Ahead Of Fed Rate Decision - Ford Motor (NYSE:F), Kraft Heinz|eng|Benzinga|neutro|alto|curto
Fed Preview : Crypto Observers Believe Bitcoin Rally May Stall Powell Signal End Tightening|Fed Preview: Crypto Observers Believe Bitcoin Rally May Stall if Powell Does Not Signal End of Tightening|eng|CoinDesk|neutro|alto|curto
Bitcoin Rises Ahead Fed Decision . Next Move Rates Key Cryptos .|Bitcoin Rises Ahead of Fed Decision. The Next Move on Rates Is Key for Cryptos.|eng|Barron's|neutro|alto|curto
Fed Preview : Crypto Observers Believe Bitcoin Rally May Stall Powell Signal End Tightening|Fed Preview: Crypto Observers Believe Bitcoin Rally May Stall if Powell Does not Signal End of Tightening|eng|CoinDesk|neutro|alto|curto
Could Underwater ETH Stakers Become Threat Crypto Market|Could Underwater ETH Stakers Become a Threat to Crypto Market|eng|BeInCrypto|negativo|alto|longo
Hindenburg Research targeted Carl Icahn 's investment fund|Hindenburg Research targeted Carl Icahn's investment fund|eng|Quartz|negativo|alto|curto
Two market watchers discuss latest Fed decision impact stocks|Two market watchers discuss how the latest Fed decision will impact stocks|eng|CNBC Television|neutro|alto|curto
Next Fed Announcement Bullish Bearish ?|Will the Next Fed Announcement Be Bullish or Bearish?|eng|Entrepreneur|neutro|alto|curto
Apple results could mark weak finish Big Tech earnings|Apple results could mark weak finish to Big Tech earnings|eng|Yahoo Finance|negativo|alto|curto
Brent test $ 70 macro concerns overtake long-term fundamentals – Rabobank|Brent to test $70 as macro concerns overtake long-term fundamentals – Rabobank|eng|FXStreet|negativo|alto|curto
WWE® Reports First Quarter 2023 Results – World Wrestling Entertainment Inc .|WWE® Reports First Quarter 2023 Results – World Wrestling Entertainment Inc.|eng|WWE Corporate|neutro|alto|longo
Estee Lauder slashes full-year forecasts amid Asia travel sales slowdown ( NYSE : EL )|Estee Lauder slashes full-year forecasts amid Asia travel sales slowdown (NYSE:EL)|eng|Seeking Alpha|negativo|alto|curto
Mortgage demand drops bank failures hit jumbo loan rates|Mortgage demand drops as bank failures hit jumbo loan rates|eng|CNBC|negativo|alto|curto
Estee Lauder sinks dour 2023 outlook due slow recovery Asia|Estee Lauder sinks after dour 2023 outlook due to slow recovery in Asia|eng|Yahoo Finance|negativo|alto|curto
Senate hold hearing bank failures week following First Republic collapse|Senate to hold hearing on bank failures this week following First Republic collapse|eng|Fox Business|neutro|alto|curto
CVS beats Q1 expectations , cuts outlook buying spree|CVS beats Q1 expectations, cuts outlook after buying spree|eng|Yahoo Finance|neutro|alto|curto
US regional lenders slump banking turmoil fears brew|US regional lenders slump as banking turmoil fears brew|eng|ZAWYA|negativo|alto|curto
Home prices rise due worsening inventory shortage|Home prices on the rise again due to worsening inventory shortage|eng|Fox Business|negativo|alto|curto
Stellantis says easing chip crunch boosts sales|Stellantis says easing chip crunch boosts sales|eng|Legit.ng|positivo|alto|curto
Carl Icahn Hunter Become Hunted|Carl Icahn the Hunter Has Become the Hunted|eng|Bloomberg|neutro|alto|neutro
ELAHERE® Demonstrates Overall Survival Benefit Phase 3 MIRASOL Trial Patients FRα-Positive Platinum-Resistant Ovarian Cancer|ELAHERE® Demonstrates Overall Survival Benefit in the Phase 3 MIRASOL Trial in Patients with FRα-Positive Platinum-Resistant Ovarian Cancer|eng|Yahoo Finance|positivo|alto|longo
Liquid Staking : Crypto 's New Phantom Money Machine|Liquid Staking: Crypto's New Phantom Money Machine|eng|Forbes|neutro|alto|neutro
Podcast : Back future high Fed rates . ?|Podcast: Back to the future with high Fed rates. Then what?|eng|Reuters|neutro|alto|longo
Watch Federal Reserve Rate Decision|What to Watch for in the Federal Reserve Rate Decision|eng|Bloomberg Television|neutro|alto|curto
CVS beats earnings revenue lowers profit outlook|CVS beats on earnings and revenue but lowers profit outlook|eng|CNBC|neutro|alto|curto
CVS Health cuts full-year income guidance due higher acquistion costs Investing.com|CVS Health cuts full-year income guidance due to higher acquistion costs By Investing.com|eng|Investing.com|negativo|alto|curto
Crude Oil Prices Five-Week Low Buy ? Commodities Live|Crude Oil Prices At Five-Week Low  Should You Buy?  Commodities Live|eng|moneycontrol|negativo|alto|curto
Treasury yields fall investors await Fed interest rate decision|Treasury yields fall as investors await Fed interest rate decision|eng|CNBC|neutro|alto|curto
Biden 's housing financing could lead economic disaster|Biden's housing financing could lead to economic disaster|eng|Washington Examiner|negativo|alto|longo
Fintechs tout ways invest business clients ' cash FDIC limits|Fintechs tout ways to invest business clients' cash above FDIC limits|eng|American Banker|neutro|alto|curto
Icahn 's Wealth Plunges $ 10 Billion Short Report|Icahn's Wealth Plunges $10 Billion on Short Report|eng|Bloomberg Television|negativo|alto|curto
Apple reportedly attracted $ 1 billion deposits new high-yield savings account 4 days|Apple reportedly attracted $1 billion in deposits into its new high-yield savings account in just 4 days|eng|Yahoo Finance|positivo|alto|curto
Massive amount funds reportedly poured Apple high-yield savings accounts upon rollout|Massive amount of funds reportedly poured into Apple high-yield savings accounts upon rollout|eng|Fox Business|positivo|alto|curto
US stock Indexes fall regional banks tumble|US stock Indexes fall as regional banks tumble|eng|Reuters|negativo|alto|curto
WTI Price Analysis : Bloodbath continue amid US recession fears debt ceiling woes|WTI Price Analysis: Bloodbath to continue amid US recession fears and debt ceiling woes|eng|FXStreet|negativo|alto|curto
Global commercial real-estate stock Life Science REIT could rise 60 % : Jefferies|Global commercial real-estate stock Life Science REIT could rise by 60%: Jefferies|eng|CNBC|positivo|alto|longo
Gold firms $ 2,000 Fed anxiety , bank rout boost safe havens Investing.com|Gold firms above $2,000 as Fed anxiety, bank rout boost safe havens By Investing.com|eng|Investing.com|positivo|alto|curto
Balaji pays crazy $ 1M Bitcoin bet , 97 % price target|Balaji pays out his crazy $1M Bitcoin bet, 97% under price target|eng|Cointelegraph|negativo|alto|curto
Daily Skimm : Shein hot water US lawmakers try verify fast-fashion company n't depend forced labor .|Daily Skimm: Shein is in hot water as US lawmakers try to verify the fast-fashion company doesn't depend on forced labor.|eng|theSkimm|negativo|alto|curto
AJR Trucking Announces Order 50 Nikola Tre FCEVs|AJR Trucking Announces Order for 50 Nikola Tre FCEVs|eng|Nikola Motor|positivo|alto|curto
Ford Loses Nearly $ 60000 Every Electric Vehicle Sold|Ford Loses Nearly $60000 for Every Electric Vehicle Sold|eng|TheStreet|negativo|alto|curto
Jim Cramer breaks four hurdles facing stock market|Jim Cramer breaks down four hurdles facing the stock market|eng|CNBC Television|neutro|alto|curto
Bitcoin Climbs $ 28.5K Investors Weigh Fresh Bank Woes , Cool Jobs Data|Bitcoin Climbs Above $28.5K as Investors Weigh Fresh Bank Woes, Cool Jobs Data|eng|CoinDesk|neutro|alto|curto
's Much $ 100 Invested Bitcoin Today Worth Crypto Hits New All-Time Highs|Here's How Much $100 Invested In Bitcoin Today Will Be Worth If Crypto Hits New All-Time Highs|eng|Benzinga|neutro|alto|curto
new federal rules could impact New Jersey housing market|How new federal rules could impact New Jersey housing market|eng|Eyewitness News ABC7NY|neutro|alto|curto
100-Plus Lewis Brisbois Lawyers Exit New Employment Firm ( 1 )|100-Plus Lewis Brisbois Lawyers Exit for New Employment Firm (1)|eng|Bloomberg Law|neutro|alto|curto
Nike , Adidas , Shein , Temu Sent Letter House China Committee Forced Labor|Nike, Adidas, Shein, Temu Sent Letter From House China Committee About Forced Labor|eng|Forbes|neutro|alto|neutro
2-year Treasury yield slides Fed signals potential rate hike pause|2-year Treasury yield slides after Fed signals potential rate hike pause|eng|CNBC|neutro|alto|curto
Nordstrom close Downtown San Francisco stores , company confirms|Nordstrom to close both Downtown San Francisco stores, company confirms|eng|ABC7 News Bay Area|negativo|alto|curto
new change affect buying house mortgage|A new change will affect buying a house with a mortgage|eng|KAIT|neutro|alto|curto
Morgan Stanley plans cut 3000 jobs amid worsening economic outlook World Business Watch|Morgan Stanley plans to cut 3000 jobs amid worsening economic outlook  World Business Watch|eng|WION|negativo|alto|curto
# MARKETTODAY Indigo , Spicejet Shares Surge Amid GoFirst Bankruptcy . Invest ?|#MARKETTODAY  Indigo, Spicejet Shares Surge Amid GoFirst Bankruptcy. Should You Invest?|eng|Business Today|positivo|alto|curto
SoFi Stock : Gift $ 5 , Q1 earnings ( NASDAQ : SOFI )|SoFi Stock: A Gift Below $5, After Q1 earnings (NASDAQ:SOFI)|eng|Seeking Alpha|positivo|alto|curto
killed First Republic ? Failure gather deposits 'digital scale '|What killed First Republic? Failure to gather deposits at 'digital scale'|eng|American Banker|negativo|alto|longo
regional bank crisis hits U.S. economy|How the regional bank crisis hits the U.S. economy|eng|Axios|negativo|alto|longo
Market close : NZ shares slump US banking worries|Market close: NZ shares slump on US banking worries|eng|New Zealand Herald|negativo|alto|curto
Jim Cramer Identifies 4 Hurdles Facing Investors Today - Invesco QQQ Trust , Series 1 ( NASDAQ : QQQ ) , Apple|Jim Cramer Identifies 4 Hurdles Facing Investors Today - Invesco QQQ Trust, Series 1 (NASDAQ:QQQ), Apple|eng|Benzinga|neutro|alto|curto
Pandemic-sized euro surge boon ECB : Mike Dolan|Pandemic-sized euro surge now a boon for ECB: Mike Dolan|eng|ZAWYA|positivo|alto|curto
2 Stocks Fell Hard Hours Tuesday|2 Stocks That Fell Hard After Hours Tuesday|eng|The Motley Fool|negativo|alto|curto
Pandemic-sized euro surge boon ECB : Mike Dolan Reuters|Pandemic-sized euro surge now a boon for ECB: Mike Dolan By Reuters|eng|Investing.com|positivo|alto|curto
Coinbase steps U.S. international exchange|Coinbase steps out of the U.S. with an international exchange|eng|Axios|positivo|alto|neutro
Nordstrom shuts stores San Francisco bosses blame 'changing city dynamics '|Nordstrom shuts down all stores in San Francisco as bosses blame 'changing city dynamics'|eng|Daily Mail|negativo|alto|curto
WEF warns 14 million jobs vanish next 5 years|WEF warns that 14 million jobs will vanish in next 5 years|eng|"Anadolu Agency | English"|negativo|alto|longo
SEC vote boosting disclosures private funds , hedge funds|SEC to vote on boosting disclosures by private funds, hedge funds|eng|Reuters|neutro|alto|curto
Fed 's threshold rate cuts still looks 'incredibly high , ' JPMorgan says|The Fed's threshold for rate cuts still looks 'incredibly high,' JPMorgan says|eng|CNBC International TV|negativo|alto|neutro
Short investor Hindenburg erases fifth Icahn empire 's value|Short investor Hindenburg erases fifth of Icahn empire's value|eng|Reuters|negativo|alto|curto
Ford posts 'solid ' 1Q earnings Wall Street 's wary steep EV losses|Ford posts 'solid' 1Q earnings but Wall Street's wary over steep EV losses|eng|Detroit News|neutro|alto|curto
Pepe 's Pump Memecoin Fans Excited — Red Flags Abound|Pepe's Pump Has Memecoin Fans Excited — But Red Flags Abound|eng|Blockworks|neutro|alto|curto
Gold Futures : Door open recovery|Gold Futures: Door open to further recovery|eng|FXStreet|positivo|alto|curto
Oil plunge deepens concerns economy drive selloff|Oil plunge deepens as concerns over economy drive selloff|eng|Financial Post|negativo|alto|curto
India 's Go First cancels flights bankruptcy|India's Go First cancels flights after bankruptcy|eng|BBC|negativo|alto|curto
Bell : Regional Banks Sink , Icahn Shorted , Fed Rate Call Due|Before the Bell: Regional Banks Sink, Icahn Shorted, Fed Rate Call Due|eng|24/7 Wall St.|negativo|alto|curto
Stocks move higher ahead Fed rate hike decision|Stocks move higher ahead of Fed rate hike decision|eng|Yahoo Finance|positivo|alto|curto
Major Uptrend Accelerate Bitcoin ( BTC ) Stock Market , According Economist Henrik Zeberg|Major Uptrend About To Accelerate for Bitcoin (BTC) and Stock Market, According to Economist Henrik Zeberg|eng|The Daily Hodl|positivo|alto|longo
Fed expected hike rates 0.25 % FOMC meeting|Fed expected to hike rates by 0.25% at FOMC meeting|eng|Yahoo Finance|neutro|alto|curto
Today 's biggest mortgage rate decrease ? 30-year terms plummet May 3 , 2023|Today's biggest mortgage rate decrease? 30-year terms plummet  May 3, 2023|eng|Fox Business|neutro|alto|curto
CVS Health Beats Earnings Expectations , Posts $ 2.14 Billion Net Profit|CVS Health Beats Earnings Expectations, Posts $2.14 Billion Net Profit|eng|The Wall Street Journal|positivo|alto|curto
Dow Jones Rises Ahead Fed Decision , Powell Comments . AMD Dives Earnings .|Dow Jones Rises Ahead Of Fed Decision, Powell Comments. AMD Dives On Earnings.|eng|Investor's Business Daily|neutro|alto|curto
Moderna Stock : Looking Undervalued Ahead Q1 Earnings|Moderna Stock: Looking Undervalued Ahead Of Q1 Earnings|eng|Seeking Alpha|positivo|alto|curto
Hawkish surprise|Hawkish surprise|eng|FXStreet|positivo|alto|curto
RUTH Stock Alert : $ 715 Million Reason Ruth 's Hospitality Group Today|RUTH Stock Alert: The $715 Million Reason Ruth's Hospitality Group Is Up Today|eng|InvestorPlace|positivo|alto|curto
Unity Software cut 600 jobs another round layoffs|Unity Software to cut 600 jobs in another round of layoffs|eng|Seeking Alpha|negativo|alto|curto
Banking crisis escalate commercial real estate collapses , gold could reach $ 3k 2024 - Andrew Axelrod|Banking crisis will escalate if commercial real estate collapses, gold could reach $3k in 2024 - Andrew Axelrod|eng|Kitco NEWS|negativo|alto|longo
New SEC Rule Gives Big Hedge Funds 3 Days Report Major Losses|New SEC Rule Gives Big Hedge Funds 3 Days to Report Major Losses|eng|Bloomberg|neutro|alto|curto
Unity lays 600 , closing half offices|Unity lays off 600 more, closing half of offices|eng|GamesIndustry.biz|negativo|alto|curto
Private payrolls surged 296000 April|Private payrolls surged by 296000 in April|eng|CNBC Television|positivo|alto|curto
Eli Lilly 's Alzheimer 's drug slowed cognitive decline phase 3 study|Eli Lilly's Alzheimer's drug slowed cognitive decline in phase 3 study|eng|CNBC Television|positivo|alto|curto
Jenny Craig tells employees shut doors|Jenny Craig tells employees it will shut its doors|eng|NBC News|negativo|alto|curto
Ethereum Trades $ 1,800 ; Stacks Emerges Top Gainer|Ethereum Trades Above $1,800; Stacks Emerges As Top Gainer|eng|Benzinga|positivo|alto|curto
Bitcoin predictions : Robert Kiyosaki , Standard Chartered , Matrixport|Bitcoin predictions: Robert Kiyosaki, Standard Chartered, Matrixport|eng|Markets Insider|neutro|alto|neutro
ImmunoGen ( IMGN ) Stock 125 % Today ?|Why Is ImmunoGen (IMGN) Stock Up 125% Today?|eng|InvestorPlace|positivo|alto|curto
ImmunoGen Touts Additional Positive Data Ovarian Cancer Drug , Seeks Expanded Use Approval , Stock Soa|ImmunoGen Touts Additional Positive Data From Ovarian Cancer Drug, Seeks Expanded Use Approval, Stock Soa|eng|Benzinga|positivo|alto|curto
Coinbase Executives Sued Allegedly Profiting Inside Information Public Listing|Coinbase Executives Sued For Allegedly Profiting From Inside Information During Public Listing|eng|Cryptonews|negativo|alto|curto
'ChatGPT new crypto ' : Meta warns hackers exploiting interest AI chatbot|'ChatGPT is the new crypto': Meta warns hackers are exploiting interest in the AI chatbot|eng|CNN|negativo|alto|curto
Worse come economy rates top 5 %|Worse to come for the economy as rates top 5%|eng|CNN|negativo|alto|longo
IMF Warns Middle East , North Africa Economic Growth Set 'soft Patch ' - I24NEWS|IMF Warns Middle East, North Africa Economic Growth Set For 'soft Patch' - I24NEWS|eng|i24NEWS|negativo|alto|curto
Crude Oil Continues Slide , Dragging Several Oil Stocks - Exxon Mobil ( NYSE : XOM )|Crude Oil Continues To Slide, Dragging Down Several Oil Stocks - Exxon Mobil (NYSE:XOM)|eng|Benzinga|negativo|alto|curto
Ethereum Market Shows Signs Overheating , Decline Soon ?|Ethereum Market Shows Signs Of Overheating, Decline Soon?|eng|Bitcoinist|negativo|alto|curto
Carl Icahn targeted short seller Hindenburg 'Ponzi-like ' structure|Carl Icahn targeted by short seller Hindenburg for 'Ponzi-like' structure|eng|Yahoo Finance|negativo|alto|curto
Ruth 's Chris Steak House bought Darden Restaurants $ 715 million|Ruth's Chris Steak House bought by Darden Restaurants for $715 million|eng|NOLA.com|neutro|alto|neutro
Ford boosts Mustang Mach-E range drops price profits grow 20 %|Ford boosts Mustang Mach-E range and drops price as profits grow 20%|eng|Ars Technica|positivo|alto|curto
Cramer 's First Take : Eli Lilly 's Alzheimer 's drug 'the holy grail '|Cramer's First Take: Eli Lilly's Alzheimer's drug is 'the holy grail'|eng|CNBC Television|positivo|alto|curto
Tuesday Morning closing discount stores , including Knoxville location|Tuesday Morning is closing all of its discount stores, including this Knoxville location|eng|Knoxville News Sentinel|negativo|alto|curto
AMD stock falls PC industry slumps|AMD stock falls as PC industry slumps|eng|Yahoo Finance|negativo|alto|curto
Carlsbad-based Jenny Craig closing locations : report|Carlsbad-based Jenny Craig closing all locations: report|eng|FOX 5 San Diego|negativo|alto|curto
BTC Consolidates $ 29K Calm Storm ? ( BItcoin Price Analysis )|BTC Consolidates Below $29K but is This the Calm Before the Storm? (BItcoin Price Analysis)|eng|CryptoPotato|neutro|alto|curto
Microchip availability boosts Stellantis first-quarter revenues , shipments|Microchip availability boosts Stellantis first-quarter revenues, shipments|eng|Detroit News|positivo|alto|curto
AI Cause 'Significant Labor Market Churn ' Next 5 Years , Report Finds|AI Will Cause 'Significant Labor Market Churn' in Next 5 Years, Report Finds|eng|Singularity Hub|negativo|alto|curto
ImmunoGen surges cancer drug study hits 'home run '|ImmunoGen surges after cancer drug study hits a 'home run'|eng|Reuters|positivo|alto|curto
Expect Apple Earnings|What to Expect From Apple Earnings|eng|Bloomberg Technology|neutro|alto|curto
Oil Plunges $ 69 Pledged OPEC+ Cuts Fail Dent Supply|Oil Plunges Below $69 as Pledged OPEC+ Cuts Fail to Dent Supply|eng|Yahoo Finance|negativo|alto|curto
EIA Inventory Report Fails Arrest Oil Price Slide|EIA Inventory Report Fails To Arrest Oil Price Slide|eng|OilPrice.com|negativo|alto|curto
Jobs report may show U.S. created fewest jobs April two years|Jobs report may show U.S. created fewest jobs in April in more than two years|eng|MarketWatch|negativo|alto|curto
Darden buys Ruth 's Chris Steak House $ 715 million|Darden buys Ruth's Chris Steak House for about $715 million|eng|Yahoo Finance|neutro|alto|curto
Carmakers Set Lose Pricing Power Muted Global Economy|Carmakers Set to Lose Pricing Power in Muted Global Economy|eng|Yahoo Finance|negativo|alto|longo
WWE SmackDown & Raw Buck Q1 Market Trends , Crush Ratings|WWE SmackDown & Raw Buck Q1 Market Trends, Crush Ratings|eng|Wrestling Inc.|neutro|alto|curto
ImmunoGen Stock Blasting Wednesday - Immunogen ( NASDAQ : IMGN )|Why ImmunoGen Stock Is Blasting Off Wednesday - Immunogen (NASDAQ:IMGN)|eng|Benzinga|positivo|alto|curto
Starbucks Stock Sliding Today - Starbucks ( NASDAQ : SBUX )|Why Starbucks Stock Is Sliding Today - Starbucks (NASDAQ:SBUX)|eng|Benzinga|negativo|alto|curto
Olive Garden owner Darden Restaurants buys Ruth 's Chris Steak House $ 715 million|Olive Garden owner Darden Restaurants buys Ruth's Chris Steak House for $715 million|eng|CNBC|neutro|alto|curto
& P 500 News & Forecast : Index flat ahead Fed rate announcement , expect downtrend unfold|S&P 500 News & Forecast: Index flat ahead of Fed rate announcement, but expect downtrend to unfold|eng|FXStreet|negativo|alto|curto
Five reasons regional bank stock investors worried|Five reasons why regional bank stock investors are worried|eng|CNBC|negativo|alto|longo
US banking crisis seems destined go forever|The US banking crisis seems destined to go on forever|eng|Business Insider|negativo|alto|longo
Yum ! Brands Drops Q1 Earnings Miss Estimates|Yum! Brands Drops as Q1 Earnings Miss Estimates|eng|TipRanks|negativo|alto|curto
Apple likely report 'solid ' results , valuation concern : Baird ( NASDAQ : AAPL )|Apple likely to report 'solid' results, but valuation a concern: Baird (NASDAQ:AAPL)|eng|Seeking Alpha|neutro|alto|curto
promising Gold trend|A promising Gold trend|eng|FXStreet|positivo|alto|longo
US regional bank stocks volatile investors eye Fed meet|US regional bank stocks volatile as investors eye Fed meet|eng|Reuters|neutro|alto|curto
Starbucks ( SBUX ) Q2 Earnings & Revenues Beat , Stock|Starbucks (SBUX) Q2 Earnings & Revenues Beat, Stock Down|eng|Yahoo Finance|neutro|alto|curto
ImmunoGen stock rises Elahere shows survival benefit trial|ImmunoGen stock rises as Elahere shows survival benefit in trial|eng|Seeking Alpha|positivo|alto|curto
ChatGPT scams new crypto scams , Meta warns|ChatGPT scams are the new crypto scams, Meta warns|eng|Engadget|negativo|alto|curto
Uber raised Buy Susquehanna earnings impress ( NYSE : UBER )|Uber raised to Buy at Susquehanna after earnings impress (NYSE:UBER)|eng|Seeking Alpha|positivo|alto|curto
Wolfe double-upgrades regional bank stock 's 'attractive place hide '|Wolfe double-upgrades this regional bank stock that's an 'attractive place to hide'|eng|CNBC|positivo|alto|curto
Gold outlook : Fed trigger rally sell-off ?|Gold outlook: Will Fed trigger rally or sell-off?|eng|FOREX.com US|neutro|alto|curto
CVS Health beats earnings revenue , lowers 2023 profit outlook|CVS Health beats on earnings and revenue, lowers 2023 profit outlook|eng|CNBC Television|neutro|alto|curto
Taco Bell , KFC parent company Yum ! Brands Q1 earnings beat same-store sales estimates|Taco Bell, KFC parent company Yum! Brands Q1 earnings beat same-store sales estimates|eng|Yahoo Finance|positivo|alto|curto
Private payrolls surged 296,000 April , much higher expected , ADP says|Private payrolls surged by 296,000 in April, much higher than expected, ADP says|eng|CNBC|positivo|alto|curto
Treasury Flags Bigger Sales Soon August , Buybacks 2024|Treasury Flags Bigger Sales as Soon as August, Buybacks in 2024|eng|Yahoo Finance|neutro|alto|curto
ADP : US Firms Added 296000 Jobs April|ADP: US Firms Added 296000 Jobs in April|eng|Bloomberg Television|positivo|alto|curto
Experimental Alzheimer 's drug slows cognitive declines large trial , drugmaker Eli Lilly says|Experimental Alzheimer's drug slows cognitive declines in large trial, drugmaker Eli Lilly says|eng|CNN|positivo|alto|curto
Tesla ’ Swelling Inventory Suggests Musk Keep Cutting Prices|Tesla’s Swelling Inventory Suggests Musk Will Keep Cutting Prices|eng|Yahoo Finance|negativo|alto|curto
Tesla Price Cuts ( TSLA ) n't Inventory Keeps Rising|Tesla Price Cuts (TSLA) Aren't Over as Inventory Keeps Rising|eng|Bloomberg|negativo|alto|curto
WWE Touts Higher Ratings , Rights Fees Ticket Sales , Earnings Drop Saudi Event Timing|WWE Touts Higher Ratings, Rights Fees and Ticket Sales, But Earnings Drop on Saudi Event Timing|eng|Hollywood Reporter|neutro|alto|curto
Starbucks : Q2 ‘ incredible quarter every single measure , ’ CFO says|Starbucks: Q2 ‘an incredible quarter on every single measure,’ CFO says|eng|Yahoo Finance|positivo|alto|curto
Coinbase Debuts International Exchange Following Feud U.S . Regulator|Coinbase Debuts International Exchange Following Feud With a U.S. Regulator|eng|Cryptonews|neutro|alto|curto
Nikola gains announcing delivery deal 14 Tre electric trucks ( NASDAQ : NKLA )|Nikola gains after announcing delivery deal for 14 Tre electric trucks (NASDAQ:NKLA)|eng|Seeking Alpha|positivo|alto|curto
AMD 's lackluster forecast sparks selloff shares|AMD's lackluster forecast sparks selloff in shares|eng|Yahoo Finance|negativo|alto|curto
Ford Posts $ 1.76B 1Q Profit Largely Gas-Powered Vehicles|Ford Posts $1.76B 1Q Profit Largely on Gas-Powered Vehicles|eng|Cheddar|positivo|alto|curto
